sku_surtilec_candidato,referencia_fuente_interna,nombre_fuente_interno,nombre_surtilec_propuesto,descripcion_corta_propuesta,descripcion_larga_propuesta,categoria_surtilec,subcategoria_surtilec,unidad_venta_propuesta,datos_confirmados_por_referencia,datos_pendientes_de_verificacion,coincidencia_catalogo_actual,estado_fuente,estado_imagen,evidencia_interna_url,imagen_interna_url,campos_pendientes
SRT-CTRL-4x10-20AWG-CU-PVC-600V,,Cable Control 4x10+20 awg cu pvc tc ls 90°c 600v,"Cable de control 4 x 10 + 20 AWG, cobre, PVC, 600 V","Cable de control con 4 x 10 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 4 x 10 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 4 x 10 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-4x10-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/435/6f63eb7a8dbc5819.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-9x10-20AWG-CU-PVC-600V,,Cable Control 9x10+20 awg cu pvc tc ls 90°c 600v,"Cable de control 9 x 10 + 20 AWG, cobre, PVC, 600 V","Cable de control con 9 x 10 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 9 x 10 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 9 x 10 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-9x10-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/437/55d96da33d6a57ec.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-7x16AWG-CU,CBE-10034988,Cable Encauchetado 7X16 AWG CU,"Cable encauchetado 7 x 16 AWG, cobre","Cable encauchetado con 7 x 16 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 7 x 16 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 7 x 16 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-7x16-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79724/6769967873007ccf.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-7x14AWG-CU,CBE-10034987,Cable Encauchetado 7X14 AWG CU,"Cable encauchetado 7 x 14 AWG, cobre","Cable encauchetado con 7 x 14 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 7 x 14 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 7 x 14 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-7x14-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79725/0a4e6ec02ec930c5.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-7x10AWG-CU,,Cable Encauchetado 7X10 AWG CU,"Cable encauchetado 7 x 10 AWG, cobre","Cable encauchetado con 7 x 10 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 7 x 10 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 7 x 10 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-7x10-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79726/03f17877938f6f5e.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-6x18AWG-CU,,Cable Encauchetado 6X18 AWG CU,"Cable encauchetado 6 x 18 AWG, cobre","Cable encauchetado con 6 x 18 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 6 x 18 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 6 x 18 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-6x18-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79727/d85fd1cd96c36c04.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-6x16AWG-CU,,Cable Encauchetado 6X16 AWG Cu,"Cable encauchetado 6 x 16 AWG, cobre","Cable encauchetado con 6 x 16 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 6 x 16 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 6 x 16 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-6x16-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79728/1104969f9ea0a56d.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-6x14AWG-CU,,Cable Encauchetado 6X14 AWG CU,"Cable encauchetado 6 x 14 AWG, cobre","Cable encauchetado con 6 x 14 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 6 x 14 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 6 x 14 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-6x14-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79729/1330bb5e8984d089.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-6x12AWG-CU,,Cable Encauchetado 6X12 AWG CU,"Cable encauchetado 6 x 12 AWG, cobre","Cable encauchetado con 6 x 12 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 6 x 12 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 6 x 12 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-6x12-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79730/7ce0417c277d24d9.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-5x8AWG-CU,,Cable Encauchetado 5X8 AWG Cu,"Cable encauchetado 5 x 8 AWG, cobre","Cable encauchetado con 5 x 8 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 5 x 8 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 5 x 8 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-5x8-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79731/572f53e7c92610ea.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-5x18AWG-CU,CBE-10034980,Cable Encauchetado 5X18 AWG Cu,"Cable encauchetado 5 x 18 AWG, cobre","Cable encauchetado con 5 x 18 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 5 x 18 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 5 x 18 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-5x18-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79732/35dff716858e08fb.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-5x16AWG-CU,,Cable Encauchetado 5X16 AWG Cu,"Cable encauchetado 5 x 16 AWG, cobre","Cable encauchetado con 5 x 16 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 5 x 16 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 5 x 16 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-5x16-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79733/fb58bcc8960ef284.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-5x14AWG-CU,,Cable Encauchetado 5X14 AWG Cu,"Cable encauchetado 5 x 14 AWG, cobre","Cable encauchetado con 5 x 14 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 5 x 14 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 5 x 14 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-5x14-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79734/4e2582b6e6661735.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-ENCAU-5x12AWG-CU,,Cable Encauchetado 5X12 AWG Cu,"Cable encauchetado 5 x 12 AWG, cobre","Cable encauchetado con 5 x 12 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.","<p>Cable encauchetado con 5 x 12 AWG y conductores de cobre. Confirma chaqueta, tensión, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables especiales,Cable encauchetado,,configuración: 5 x 12 AWG; conductor indicado: cobre,"SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; tipo de chaqueta; tensión, temperatura y aplicación confirmadas en ficha",no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-encauchetado-5x12-awg-cu,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79735/7bcdcf4fa13c66ef.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
